time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,0.2930255350280828,0.04232754864564552,0.025007531395351397
0.02,0.02,0.3534678030324622,0.028889032580902776,0.025007531395351397
0.03,0.03,0.3988711641665429,0.023719055362473367,0.025007531395351397
0.04,0.04,0.4030022932940995,0.02108214331378663,0.025007531395351397
0.05,0.05,0.3737799500417062,0.018641677514031677,0.025007531395351397
0.06,0.06,0.36673252909469517,0.01694816173990927,0.025007531395351397
0.07,0.07,0.36256706158581764,0.015430575083985478,0.025007531395351397
0.08,0.08,0.34878090946132,0.01484293126889307,0.025007531395351397
0.09,0.09,0.33914056578362717,0.014084891552914461,0.025007531395351397
0.1,0.1,0.3337475915536068,0.013417960997024829,0.025007531395351397
0.11,0.11,0.33261880687785494,0.012857694460938918,0.025007531395351397
0.12,0.12,0.33997276157849715,0.012194804011371256,0.025826127004531536
0.13,0.13,0.34198490253660396,0.011721790518721562,0.022320704116778216
0.14,0.14,0.32977434157082264,0.011377978683243542,0.015518572068415903
0.15,0.15,0.3257109259036009,0.011029655584795121,0.013596456055128978
0.16,0.16,0.3191282875819072,0.010631637341031163,0.012285418870190867
0.17,0.17,0.3267813867507439,0.010288096733815491,0.008854308852559481
0.18,0.18,0.33915072099265126,0.009971799512378232,0.007452256416851573
0.19,0.19,0.34788637961810814,0.009693451713193111,0.00868942064315821
0.2,0.2,0.35815934541116995,0.009475086722775942,0.011640012416400709
0.21,0.21,0.3694174940831577,0.009492822027002029,0.015565974192496073
0.22,0.22,0.37744958123614913,0.009537036425177683,0.01960146435086158
0.23,0.23,0.37591159858819967,0.009565840071461629,0.022080817184801878
0.24,0.24,0.38199530910564866,0.009529618294320115,0.02368751896185222
0.25,0.25,0.3911893304584651,0.009576951568010257,0.02459674196602132
0.26,0.26,0.39910666484123725,0.009633288552821556,0.023264209168511508
0.27,0.27,0.404691239993782,0.009601954501751895,0.021377844118726615
0.28,0.28,0.407038873771121,0.009494169117231005,0.01961295332107917
0.29,0.29,0.4173059983759922,0.00942179092076813,0.018744497416222465
0.3,0.3,0.42391167451977585,0.009430446788457916,0.018557002079993036
0.31,0.31,0.4202757539790554,0.009448306768306911,0.01778003377969109
0.32,0.32,0.4128071717877593,0.009453041723615153,0.0162740453318522
0.33,0.33,0.41749984125375567,0.009434458382749927,0.013547828651806827
0.34,0.34,0.4325664190647955,0.009331752443589338,0.01231833721796909
0.35,0.35,0.4413775390464581,0.009326927601097362,0.012821738351189457
0.36,0.36,0.4500064613300681,0.009383608424387322,0.014616401658652366
0.37,0.37,0.45785878392473545,0.009388748874765472,0.016821891234798485
0.38,0.38,0.453499427408026,0.00942361486792348,0.01678541632588
0.39,0.39,0.4525058078928125,0.009438507694076472,0.016886470715002492
0.4,0.4,0.4491057206660294,0.009485692167187683,0.01672290623704986
0.41,0.41,0.4395336197753051,0.009573494112599277,0.015416869621947335
0.42,0.42,0.4349503237397466,0.009595385957497133,0.012230177509385178
0.43,0.43,0.4284071775652439,0.009586814834447557,0.00999656362760519
0.44,0.44,0.41789457300736066,0.009609237802226571,0.01259659577070383
0.45,0.45,0.4169539635215598,0.009575863468747513,0.014983094470554357
0.46,0.46,0.4090750103346817,0.009543729846577838,0.0173685080813406
0.47,0.47,0.4155821224725531,0.009632893413318423,0.01657814636152596
0.48,0.48,0.4189482898600043,0.009692822781066418,0.015074024898162966
