time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-13.993720347447516,0.04102805902315401,0.03261401668653307
0.02,0.02,-13.923802337980803,0.0330006028395635,0.03261401668653307
0.03,0.03,-13.92409554559978,0.02809850765578132,0.03261401668653307
0.04,0.04,-13.89161144500626,0.02507219136189381,0.03261401668653307
0.05,0.05,-13.866240333092119,0.0228817968237704,0.03261401668653307
0.06,0.06,-13.865000853813807,0.020874860320862804,0.03261401668653307
0.07,0.07,-13.860487037740638,0.01961838856734303,0.03261401668653307
0.08,0.08,-13.848494093110437,0.018251441739636668,0.03261401668653307
0.09,0.09,-13.837392137666003,0.017298459826631425,0.03261401668653307
0.1,0.1,-13.833953686556688,0.016426652180215034,0.03261401668653307
0.11,0.11,-13.851804216101312,0.015489805442810171,0.03261401668653307
0.12,0.12,-13.852000874349699,0.014687867667281279,0.02693238562272093
0.13,0.13,-13.860859113464508,0.014168136992171412,0.016377069050733516
0.14,0.14,-13.865894434318426,0.013506288209901823,0.011632366904927145
0.15,0.15,-13.846632339446057,0.012942546879990812,0.01101593463644751
0.16,0.16,-13.83743127256973,0.012419689473436463,0.010920231781548263
0.17,0.17,-13.82265515512204,0.012065750983642546,0.01303705996073202
0.18,0.18,-13.826262340719866,0.011651713387889303,0.014340295247958844
0.19,0.19,-13.823549433261666,0.011260406353220157,0.01560639787356423
0.2,0.2,-13.820449755138416,0.01091077142393778,0.016919048195019472
0.21,0.21,-13.811472049914137,0.0110369898955549,0.018705127323179523
0.22,0.22,-13.82024733568618,0.011094699387684096,0.01851724092733899
0.23,0.23,-13.833450542089018,0.01109857973384994,0.01586343369541574
0.24,0.24,-13.841765255499912,0.011163445674053958,0.011032517854743287
0.25,0.25,-13.845089547083408,0.01115274891107412,0.010756428216290812
0.26,0.26,-13.840212771331053,0.011164761220198242,0.011052480939574078
0.27,0.27,-13.837640273515325,0.01107969640612195,0.011184716390423375
0.28,0.28,-13.8517823110172,0.011029261604619324,0.012998042615707096
0.29,0.29,-13.861093697475154,0.010960584853285044,0.015319273713243988
0.3,0.3,-13.857297519575104,0.010862864422654599,0.01550810227686336
0.31,0.31,-13.832944024457777,0.010867860534572055,0.012266164371938622
0.32,0.32,-13.817484959559906,0.010822271779676278,0.012832322036539933
0.33,0.33,-13.816572539027879,0.010687759112854887,0.014991884992015661
0.34,0.34,-13.810971149972731,0.010640073332471495,0.01757250468839322
0.35,0.35,-13.82686091437769,0.010665210920365476,0.01759809873258664
0.36,0.36,-13.83055801397446,0.010764676615733427,0.01756257815392654
0.37,0.37,-13.84534584263695,0.010699330344300133,0.01789039607734493
0.38,0.38,-13.856941337456842,0.01074309864122746,0.018489550416296876
0.39,0.39,-13.880531660524628,0.010845429295247158,0.022130022873558593
0.4,0.4,-13.891143414623077,0.0108375704773966,0.027437448898739704
0.41,0.41,-13.893164461908594,0.010734243398076354,0.03175721591095525
0.42,0.42,-13.893959621894988,0.010656128342428045,0.033052868565560355
0.43,0.43,-13.907397015515146,0.010707999257480177,0.033908485175823455
0.44,0.44,-13.92222915767516,0.010606221952913492,0.032928172450645346
0.45,0.45,-13.927381258825122,0.010553787582933011,0.03199294585855711
0.46,0.46,-13.937793362516603,0.010546400239877409,0.029653779613742444
0.47,0.47,-13.961323521440582,0.010504458104622617,0.030488169920270217
0.48,0.48,-13.954169668679354,0.010561153890584778,0.028093627460689843
0.49,0.49,-13.933082733039733,0.01064738588324829,0.02530997033678702
0.5,0.5,-13.939427861791101,0.010628513354851443,0.023256865400794354
0.51,0.51,-13.95100343032127,0.01062806882861471,0.020990864958543676
