time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-8.094389318691052,-7.922037096555995,0.02302041561612058,0.023242397429175006
0.02,0.02,-8.121068972294422,-7.935841977383701,0.02302041561612058,0.023242397429175006
0.03,0.03,-8.12560388900114,-7.928757866317464,0.02302041561612058,0.023242397429175006
0.04,0.04,-8.17200909871748,-7.968055593574756,0.02302041561612058,0.023242397429175006
0.05,0.05,-8.175311363763822,-7.980516871751335,0.02302041561612058,0.023242397429175006
0.06,0.06,-8.174658634296811,-7.9830475850503015,0.02302041561612058,0.023242397429175006
0.07,0.07,-8.17186103046371,-7.982990493913429,0.02302041561612058,0.023242397429175006
0.08,0.08,-8.148329896602544,-7.951727133166784,0.02302041561612058,0.023242397429175006
0.09,0.09,-8.13525099482538,-7.93882685342128,0.02302041561612058,0.023242397429175006
0.1,0.1,-8.127972095495217,-7.931247242292202,0.02302041561612058,0.023242397429175006
0.11,0.11,-8.128596603816911,-7.930237276765632,0.02302041561612058,0.023242397429175006
0.12,0.12,-8.127734499623912,-7.931716443833119,0.022234957099502843,0.023616853292890316
0.13,0.13,-8.120037294801758,-7.925051700746623,0.02293693472480358,0.02405946889990644
0.14,0.14,-8.118489085587099,-7.925554554489921,0.023001932460550188,0.024720020963903216
0.15,0.15,-8.11844630898259,-7.926063070291048,0.021021937465057084,0.022698636387096845
0.16,0.16,-8.110904937926598,-7.915692600504593,0.01779879373372907,0.0190834798547415
0.17,0.17,-8.099642277186309,-7.899016418647475,0.013370636272878078,0.01381277791928089
0.18,0.18,-8.102107511067034,-7.903059459580364,0.011738653505953356,0.01287531970364158
0.19,0.19,-8.092875470980713,-7.891143792469423,0.012789125632233103,0.014889294999135327
0.2,0.2,-8.079835871406683,-7.874403046912563,0.015908900667544516,0.019389165650793856
0.21,0.21,-8.068805903687478,-7.863059320046534,0.019019169322486533,0.023619212695284282
0.22,0.22,-8.0547620240963,-7.8484323329181,0.022528388806720614,0.027673907509546725
0.23,0.23,-8.041132098856073,-7.838480061302681,0.02681430049378021,0.031280785600197245
0.24,0.24,-8.016196872827694,-7.82101268646675,0.03298827237364027,0.03478983205340626
0.25,0.25,-7.998628471940157,-7.806358190125906,0.0382029525530228,0.036955290731625755
0.26,0.26,-7.990487577639149,-7.8011061554224,0.04148444357243082,0.037616737242790736
0.27,0.27,-7.9775956161057575,-7.786751817822662,0.04455048882073573,0.03959096190303805
0.28,0.28,-7.97588312893996,-7.785849518653794,0.043575302202082625,0.03724015250376813
0.29,0.29,-7.965117496119334,-7.777282359587693,0.041655263277881084,0.03432452015869179
0.3,0.3,-7.960115083887079,-7.77482932652613,0.03863426399301483,0.031175553768927066
0.31,0.31,-7.950746230096889,-7.770444297678744,0.034771962495883484,0.027279234551973307
0.32,0.32,-7.940274176072621,-7.76279783700858,0.030825206627360515,0.023997745667602773
0.33,0.33,-7.9326253638626945,-7.7568884319859555,0.02631570945326524,0.02019321281004971
0.34,0.34,-7.927653196362506,-7.754622395006962,0.024137517686883818,0.01753194427596501
0.35,0.35,-7.927379552700575,-7.754420879523114,0.022559595037951966,0.01569315172690014
0.36,0.36,-7.940155884081367,-7.763392019301881,0.01905169294408337,0.012196675427159348
0.37,0.37,-7.94988067680041,-7.773836012353467,0.016380148762669564,0.010663432407281126
0.38,0.38,-7.958733004985917,-7.778364082081241,0.013695979364074557,0.009417158432644374
0.39,0.39,-7.982802928160232,-7.794653609800917,0.01722984229556791,0.012639501111575097
0.4,0.4,-8.008804847395194,-7.815983468341212,0.02598932811651636,0.01968995286601217
0.41,0.41,-8.025735645130142,-7.830424862909352,0.03490654008142343,0.02682393287692841
0.42,0.42,-8.029251114986002,-7.833561511905715,0.040396761044740485,0.031188929324815873
0.43,0.43,-8.036282582870589,-7.840665219929449,0.04341158856189073,0.033760999005760066
0.44,0.44,-8.044434699113134,-7.850092482270129,0.04386857139833181,0.03487121146049024
0.45,0.45,-8.050735026650433,-7.853949100131565,0.04147347836610118,0.0334696075864897
0.46,0.46,-8.042912331252607,-7.844972757987887,0.036717531511852974,0.029622404058164856
0.47,0.47,-8.040366372635328,-7.844569692904856,0.029976708399025442,0.02502475882324871
0.48,0.48,-8.04619665543896,-7.850699934669916,0.02082781159960705,0.01843838468181699
0.49,0.49,-8.064232120454902,-7.86898996926338,0.015139636630959004,0.014500362399405498
0.5,0.5,-8.07325711227887,-7.877669738931168,0.014616533307427003,0.01466551690178151
0.51,0.51,-8.079120343234145,-7.882952202027851,0.016311334120361003,0.016359569760181124
0.52,0.52,-8.083635562971107,-7.8888112043809135,0.017402964004912237,0.01766289477499232
0.53,0.53,-8.082724443921087,-7.88250151429669,0.017715685633675482,0.017438911189026032
0.54,0.54,-8.078839872540458,-7.872950678390917,0.017532520490475677,0.016824831736527344
0.55,0.55,-8.070347825340654,-7.860301909414488,0.016945827757949675,0.016399978107347862
0.56,0.56,-8.067603491151935,-7.8590608243468,0.014850936177713246,0.01478048475113117
0.57,0.57,-8.05732239302001,-7.843514776628968,0.01194966628413804,0.014975517535291229
0.58,0.58,-8.036388614118042,-7.824918649840766,0.014318173077856627,0.019852417825450223
0.59,0.59,-8.01342028722957,-7.807286921470532,0.022824352907287463,0.027131884550270678
0.6,0.6,-7.991447020579021,-7.789550049481389,0.03204343135584323,0.03415514236834331
0.61,0.61,-7.974351201140569,-7.775569746145255,0.03985133471213645,0.03951729409086083
0.62,0.62,-7.970605028407568,-7.771360456108116,0.04370982095171546,0.04097268430163843
0.63,0.63,-7.966514011565901,-7.765681131103716,0.044839998584334795,0.04058090025136216
0.64,0.64,-7.954914441318004,-7.7516753685449515,0.04472024492121214,0.040127681461516164
0.65,0.65,-7.94326922137052,-7.740345984385309,0.043804377983163854,0.039649941917082675
0.66,0.66,-7.942004017409121,-7.7384997353501035,0.03926857175736996,0.03539746897285217
0.67,0.67,-7.939593984329497,-7.735475558213637,0.032195459993642976,0.030257131174984783
0.68,0.68,-7.930460318844457,-7.728557350258202,0.025930433588038364,0.025861465113044553
0.69,0.69,-7.919742105265708,-7.722238059387677,0.022208311127932145,0.022494436232648074
0.7,0.7,-7.913887122282224,-7.719640878142974,0.02090714248962616,0.020242258980346664
0.71,0.71,-7.897547361184191,-7.706738779042816,0.023133437095363415,0.02035852561689297
0.72,0.72,-7.892784531203689,-7.7029438136836355,0.023966157195566933,0.019382343684124496
0.73,0.73,-7.8964380155987195,-7.709302617895192,0.022314693609900044,0.016164012370575773
0.74,0.74,-7.893819765337295,-7.7105081856738185,0.020947135402907355,0.013844579029622153
0.75,0.75,-7.889772628736725,-7.710471561188819,0.02030122818879184,0.012462312609331009
0.76,0.76,-7.8837830378049905,-7.706282841176689,0.018915749239709633,0.01074576222575977
0.77,0.77,-7.889162842897564,-7.712936154741458,0.015271453726737402,0.008049752066583843
0.78,0.78,-7.893464401894527,-7.714451741642491,0.011213613137788615,0.005984190435124534
0.79,0.79,-7.900549758816785,-7.719891788224316,0.008109056937678412,0.005548793676108019
0.8,0.8,-7.90910485823264,-7.726753866898642,0.0069354537575118235,0.007000434778521244
0.81,0.81,-7.916824020775543,-7.732542484531959,0.009884437071634682,0.009233591521716713
0.82,0.82,-7.9263354972184,-7.741207740496189,0.013492307580198105,0.01151025805378011
0.83,0.83,-7.923575183140671,-7.739548077797502,0.015318415173245807,0.012750875290311502
0.84,0.84,-7.928580803750968,-7.74593247965185,0.016951683052430295,0.014207880144964682
0.85,0.85,-7.934348132666468,-7.753508706408117,0.01800477748170102,0.015751771230324146
