time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-11.716710688565923,-11.172204003115983,0.012571314152582669,0.00802209101713492
0.02,0.02,-11.730691574278195,-11.201593669255907,0.012571314152582669,0.00802209101713492
0.03,0.03,-11.722458797456818,-11.190740328306621,0.012571314152582669,0.00802209101713492
0.04,0.04,-11.739533483266907,-11.200749500081503,0.012571314152582669,0.00802209101713492
0.05,0.05,-11.717928850010175,-11.202052743276342,0.012571314152582669,0.00802209101713492
0.06,0.06,-11.704267854877967,-11.191167608505301,0.012571314152582669,0.00802209101713492
0.07,0.07,-11.70497506100355,-11.182124141425186,0.012571314152582669,0.00802209101713492
0.08,0.08,-11.707589975400763,-11.18946397121167,0.012571314152582669,0.00802209101713492
0.09,0.09,-11.705677933356993,-11.181779918926853,0.012571314152582669,0.00802209101713492
0.1,0.1,-11.706530716338095,-11.187553580291194,0.012571314152582669,0.00802209101713492
0.11,0.11,-11.7059021778086,-11.18253678776242,0.012571314152582669,0.00802209101713492
0.12,0.12,-11.711041498186315,-11.175143207396323,0.01123343134402265,0.008479892060205739
0.13,0.13,-11.714533678152915,-11.18278937558657,0.010728072463473666,0.008600794145966428
0.14,0.14,-11.70885042742805,-11.179809373274898,0.004485997321517217,0.007505714262427075
0.15,0.15,-11.711862463495015,-11.180457851373545,0.003376861001866998,0.0048225832792267885
0.16,0.16,-11.710891995705927,-11.17497961487629,0.0031805592618455287,0.00459318671649762
0.17,0.17,-11.713698500735251,-11.17663607296894,0.003215419251338419,0.0048526088974954786
0.18,0.18,-11.713132392103104,-11.175904462727624,0.003296021629080525,0.004095905832832212
0.19,0.19,-11.70986079698192,-11.174939364144658,0.0028980507581590096,0.004287628122595384
0.2,0.2,-11.707960344826054,-11.174539750364119,0.002701964378811074,0.0032863214324685254
0.21,0.21,-11.705934240307386,-11.17409824831412,0.002695553125373101,0.0029981160583403507
0.22,0.22,-11.698631392570588,-11.168700561458099,0.004683656203695135,0.003961973545771453
0.23,0.23,-11.697678221908625,-11.17050490493951,0.005623724462725871,0.0036101457468913243
0.24,0.24,-11.692666051753605,-11.169532642044814,0.007363551613051745,0.0035694871965710555
0.25,0.25,-11.695066575220455,-11.165826658698835,0.007836803093456782,0.003639633772686076
0.26,0.26,-11.700382372481164,-11.167451853658921,0.007593019096624064,0.003857000512681167
0.27,0.27,-11.699816848299788,-11.168629921592094,0.0067429126902361775,0.0035645698254572664
0.28,0.28,-11.697238415832253,-11.16336875185036,0.0056398595046466375,0.00384628316983778
0.29,0.29,-11.696800064880627,-11.164442334235115,0.004665397429537695,0.0037052908830846913
0.3,0.3,-11.698567802643927,-11.163052190131609,0.00351275925437632,0.003470206482519875
0.31,0.31,-11.696158795984939,-11.165517733944782,0.002294347151481441,0.002634271518346637
0.32,0.32,-11.69053594159631,-11.171031635814408,0.0030698009043093766,0.0029185054089087615
0.33,0.33,-11.684079683370426,-11.164378936009703,0.0049323796829209236,0.0027224606179363595
0.34,0.34,-11.70241062042031,-11.168674312130333,0.005337202680068763,0.002621699539632529
0.35,0.35,-11.69900675323805,-11.168131610159044,0.005397070462503018,0.0026821978681765054
0.36,0.36,-11.700376643379398,-11.173247279681119,0.005396612802141379,0.0034380303214622114
0.37,0.37,-11.696031856757033,-11.171927419771347,0.0052692983426712095,0.0037505981162674605
0.38,0.38,-11.695197126894758,-11.172658888565744,0.005260718006767054,0.003797666111561363
0.39,0.39,-11.692696137871753,-11.170019665858227,0.005343557351437708,0.003569872003558274
0.4,0.4,-11.694381542299746,-11.17177060597338,0.005240026283903704,0.003014162750302536
0.41,0.41,-11.694473390722116,-11.17056158306853,0.005228833622339822,0.00262704523753747
0.42,0.42,-11.700871820347714,-11.173007397486316,0.005287393465186474,0.002763913748135502
0.43,0.43,-11.697716597987906,-11.164814862600627,0.0032516478010250955,0.002659189268218812
0.44,0.44,-11.699626025311572,-11.165442657227798,0.002862903929801637,0.0030681219139363385
0.45,0.45,-11.709795649885818,-11.174028266612538,0.004955492182595634,0.003199195681825944
0.46,0.46,-11.71261584513031,-11.177152617580036,0.006758950402618642,0.003732177062512976
0.47,0.47,-11.712553696617404,-11.176366317947682,0.007799513791698492,0.004083850771280707
0.48,0.48,-11.711787287111678,-11.178890276999491,0.008184674540621453,0.004695922222069371
0.49,0.49,-11.711902944300082,-11.180710024827077,0.007834953186738157,0.005318599068363546
